player_id,handle,first_name,last_name,league,region,team_name,agent_role,total_games,total_kills,total_deaths,total_assists,total_first_kills,total_first_deaths,total_headshot,total_avg_dmg_rnd,total_rating,international_games,international_kills,international_deaths,international_assists,international_first_kills,international_first_deaths,international_headshot,international_avg_dmg_rnd,international_rating
112513175301243952,Vizzy,Viet,Hoang,VCT Challengers,Pacific,Big Baam,Initiator,10,81,135,93,7,15,0.30700000000000005,97.04,0.32051195166983826,0,0,0,0,0,0,0.0,0.0,0.0
112552468840421791,YoungPork,John Mhike,Lorio,VCT Challengers,Pacific,Subversive,Initiator,17,243,262,67,28,25,0.32823529411764707,143.28470588235294,0.329107027216769,0,0,0,0,0,0,0.0,0.0,0.0
106620786007238114,conir,Constanza,Reyes,VCT Game Changers,Americas,KRÜ Blaze,Controller,61,965,697,470,117,76,0.2826086956521739,148.52044444444445,0.5607056263402419,11,190,164,66,31,26,0.345,153.01333333333332,0.490444090186169
106605769589706970,MrTenzouEz,Tomotsuki,Inada,VCT Challengers,Pacific,SCARZ,Initiator,38,547,542,229,56,68,0.3344736842105263,123.45289473684211,0.4349907198556504,0,0,0,0,0,0,0.0,0.0,0.0
109777767558245888,Milooo,Đức Anh,Lê,VCT Challengers,Pacific,Rapid Lofi,Controller,45,606,634,274,85,103,0.31875,130.26500000000001,0.44627978667201323,0,0,0,0,0,0,0.0,0.0,0.0
107910750508827110,miwa,Acuña,Nataly,VCT Game Changers,Americas,Zen Esports,Flex,37,476,569,227,48,66,0.2554166666666667,121.10916666666667,0.36089283451919274,0,0,0,0,0,0,0.0,0.0,0.0
111702897239544869,guedeszy,Hugo,Guedes,VCT Challengers,EMEA,FTW Leça FC,Initiator,20,252,302,173,25,40,0.2685,116.6055,0.40160412810138146,0,0,0,0,0,0,0.0,0.0,0.0
111918157299291121,erde,Roberto,Lobos,VCT Challengers,Americas,Furious Gaming,Initiator,33,492,498,212,64,69,0.2927272727272727,137.73333333333332,0.44904589967796615,0,0,0,0,0,0,0.0,0.0,0.0
107042217874918990,VTaguT,Rui ,Ribeiro,VCT Challengers,Pacific,Elevate,Controller,44,667,577,336,81,57,0.3070833333333333,132.1875,0.4525222183381642,0,0,0,0,0,0,0.0,0.0,0.0
111800061362886150,GunterR,Chu-Ping,Tseng,VCT Challengers,Pacific,HKUF,Controller,30,428,450,213,57,52,0.3063333333333333,134.44366666666667,0.46540896301291335,0,0,0,0,0,0,0.0,0.0,0.0
111835914866312949,GauRanGGGG,Gaurang,Yadav,VCT Challengers,Pacific,TRUE RIPPERS,Controller,17,202,254,89,15,31,0.3452941176470588,113.31705882352941,0.40882822522923257,0,0,0,0,0,0,0.0,0.0,0.0
110094548537498173,kilo,ZHONG YI     ,HUANG,VCT Challengers,Pacific,yuanyoyin,Duelist,25,338,401,60,67,75,0.33272727272727276,122.21909090909092,0.33412911051297184,0,0,0,0,0,0,0.0,0.0,0.0
112428876038058472,Iceyyy,Lionel,Hao,VCT Challengers,Pacific,DIS Esports,Duelist,7,110,110,20,26,26,0.2414285714285714,141.1642857142857,0.47850320490244413,0,0,0,0,0,0,0.0,0.0,0.0
107760848247995076,NamGoku,Quốc Nam,Lê,VCT Challengers,Pacific,CYBERKING ESPORTS,Flex,15,147,212,41,35,37,0.4307142857142857,108.03923076923077,0.3017506702284285,0,0,0,0,0,0,0.0,0.0,0.0
112608220952111767,Cangshu,Yujun,Zheng,VCT Challengers,Pacific,FiveAce eSports,Duelist,10,136,163,79,25,21,0.333,121.28400000000002,0.41680523118621327,0,0,0,0,0,0,0.0,0.0,0.0
108748092607804521,HANE,Osariban,Hana,VCT Game Changers,Pacific,REIGNITE Lily,Flex,19,262,292,150,29,39,0.3375,131.004375,0.39329458552615243,0,0,0,0,0,0,0.0,0.0,0.0
107760839000645716,adrnking,Muhammad,Setiawan,VCT Challengers,Pacific,Velocity Gaming,Initiator,100,1443,1372,713,126,144,0.3291176470588235,132.1330882352941,0.41484089996627804,0,0,0,0,0,0,0.0,0.0,0.0
109642063463564811,gmA,0,PTH,VCT Challengers,EMEA,Fuzos Na Via,Sentinel,15,161,219,48,13,30,0.25461538461538463,102.36307692307693,0.2674084572815772,0,0,0,0,0,0,0.0,0.0,0.0
107760837950365767,Georggyyy,George,Lachica,VCT Challengers,Pacific,Valhalla,Duelist,65,1138,987,320,268,249,0.2683333333333333,154.79777777777778,0.5009253879255027,0,0,0,0,0,0,0.0,0.0,0.0
108276512353151567,Crus1,Lư,Tiến Huy,VCT Challengers,Pacific,Fancy United Esports,Sentinel,36,513,459,207,60,39,0.39125000000000004,138.07916666666668,0.45585761112356527,0,0,0,0,0,0,0.0,0.0,0.0
111702989011689837,M4NI4N,Renato,Alves,VCT Challengers,EMEA,HOF Esports,Flex,8,96,111,28,7,13,0.225,117.20375,0.32979788045782116,0,0,0,0,0,0,0.0,0.0,0.0
111906359783453408,yorkings,Tiago,Martins,VCT Challengers,EMEA,Fuzos Na Via,Controller,4,40,55,30,3,6,0.24,113.3025,0.3564,0,0,0,0,0,0,0.0,0.0,0.0
111956750623292684,altG,Raymond Reeve ,Pereyras,VCT Challengers,Pacific,AIM PH,Duelist,2,21,34,11,9,7,0.16999999999999998,145.34,0.3971428571428572,0,0,0,0,0,0,0.0,0.0,0.0
111935972806475946,Xross,Hwan,Jung,VCT Challengers,Pacific,NS Redforce,Flex,58,939,777,327,113,78,0.24051724137931033,143.83275862068965,0.49583144577924065,0,0,0,0,0,0,0.0,0.0,0.0
109642061824796407,Cunha20,David,Cunha,VCT Challengers,EMEA,SAW,Controller,48,703,586,412,55,60,0.4304545454545455,132.53363636363636,0.47375238063083236,0,0,0,0,0,0,0.0,0.0,0.0
111815926491093471,Hals,Haruto,Uehara,VCT Challengers,Pacific,REJECT,Flex,41,646,609,239,68,90,0.21536585365853658,139.4160975609756,0.414813037327029,0,0,0,0,0,0,0.0,0.0,0.0
112248495340796737,sherb,Sam,Powers Herbert,VCT Challengers,Americas,TSM,Sentinel,1,15,13,6,2,2,0.36,120.55,0.39,0,0,0,0,0,0,0.0,0.0,0.0
112441247957810898,Teague,Teague,Morgan,VCT Challengers,Americas,Blinn,Initiator,26,322,361,301,36,36,0.2665384615384615,118.63961538461538,0.48819119905620845,0,0,0,0,0,0,0.0,0.0,0.0
112478558766570998,ArPoom,Rujipoom ,Changkrut,VCT Challengers,Pacific,Team NKT,Controller,17,237,231,103,40,22,0.32705882352941174,138.386875,0.4860274399806262,0,0,0,0,0,0,0.0,0.0,0.0
112615356895121627,KyLoU,Kylian,Quesnel,VCT Challengers,EMEA,GTZ Esports,Initiator,5,80,82,34,4,11,0.324,143.498,0.38914212548015364,0,0,0,0,0,0,0.0,0.0,0.0
112643930321859663,kayban29,Fábio,Rocha,VCT Challengers,EMEA,HOF Esports,Initiator,3,28,45,22,2,2,0.2333333333333333,106.52,0.3413513513513513,0,0,0,0,0,0,0.0,0.0,0.0
110038128908424821,Kntz,Krit,Chaiprasit,VCT Challengers,Pacific,Made In Thailand,Controller,71,1106,962,502,100,70,0.3128813559322034,128.18864406779662,0.5126340251707189,0,0,0,0,0,0,0.0,0.0,0.0
111917954944100596,Tr1x,Trixtan Dwayne,Viray,VCT Challengers,Pacific,Carti Esports,Flex,22,241,343,146,28,49,0.3063636363636364,101.15272727272728,0.32434586478583793,0,0,0,0,0,0,0.0,0.0,0.0
106230312711903003,allow,Park,Sang-wook,VCT Challengers,Pacific,IGZIST,Duelist,68,1035,1012,309,222,219,0.2504347826086956,138.77826086956523,0.3356118915517797,0,0,0,0,0,0,0.0,0.0,0.0
107860346089121050,million,Yuto,Kakumoto,VCT Challengers,Pacific,MURASH GAMING,Flex,41,544,643,416,63,99,0.20341463414634145,123.2139024390244,0.42718925014620635,0,0,0,0,0,0,0.0,0.0,0.0
111935927213202006,Cloy,Mingyu,Kim,VCT Challengers,Pacific,NS Redforce,Controller,46,707,683,350,89,90,0.33869565217391306,130.0782608695652,0.438119177870939,0,0,0,0,0,0,0.0,0.0,0.0
111906359635505989,DroperZ,Pedro ,Serra,VCT Challengers,EMEA,Fuzos Na Via,Sentinel,6,63,78,25,15,16,0.246,140.038,0.30750519750519745,0,0,0,0,0,0,0.0,0.0,0.0
112097236430668342,furbsa,Hunter,Mcmillan,VCT Challengers,Americas,SaD Esports,Sentinel,15,268,238,61,36,29,0.4013333333333333,154.15200000000002,0.37458026673780376,0,0,0,0,0,0,0.0,0.0,0.0
109630575236751478,Byron,Bicocca,Davide,VCT Challengers,EMEA,Happy Game Esport,Controller,62,904,849,443,68,75,0.26361111111111113,132.51333333333332,0.4387191946310243,0,0,0,0,0,0,0.0,0.0,0.0
109625936039056298,Lomba,Luca,Lombardi,VCT Challengers,EMEA,QLASH,Flex,43,481,666,237,44,83,0.33904761904761904,93.64428571428572,0.2726785326008884,0,0,0,0,0,0,0.0,0.0,0.0
111323144834695833,Tempura,Gou,Hirakawa,VCT Challengers,Pacific,Northeption,Controller,26,297,411,150,27,55,0.2576923076923077,100.9626923076923,0.29377174675606144,0,0,0,0,0,0,0.0,0.0,0.0
111776786688462764,xitsu,Dmitriy,Epishkin,VCT Challengers,EMEA,Axolotl Esports,Duelist,13,202,181,56,36,41,0.23076923076923078,142.72538461538463,0.5146104880747008,0,0,0,0,0,0,0.0,0.0,0.0
111815972959288939,Gwangboong,Kwang won,Kim,VCT Challengers,Pacific,Sengoku Gaming,Duelist,47,833,720,184,196,147,0.29212765957446807,151.04127659574468,0.5085756150173784,0,0,0,0,0,0,0.0,0.0,0.0
106605754624364737,GangPin,Jungmu,Chae,VCT Challengers,Pacific,REJECT,Flex,75,1076,1092,558,105,114,0.28243902439024393,126.75439024390245,0.4734260586911249,0,0,0,0,0,0,0.0,0.0,0.0
111781916212745980,Yell0wstar ,Alessandro,Simonetti,VCT Challengers,EMEA,Happy Game Esport,Controller,14,168,191,104,15,21,0.24500000000000002,110.485,0.39727004737110627,0,0,0,0,0,0,0.0,0.0,0.0
111979469329060879,rkz,Zach Anthony,Arquiza,VCT Challengers,Pacific,Carti Esports,Controller,17,249,246,100,19,21,0.26235294117647057,135.98235294117646,0.35094227723461047,0,0,0,0,0,0,0.0,0.0,0.0
111835914921035513,Fox9,Tanmay,Verma,VCT Challengers,Pacific,Grayfox Esports,Initiator,16,130,253,102,18,30,0.224375,85.399375,0.21916961354810818,0,0,0,0,0,0,0.0,0.0,0.0
112428839677288393,Jefz,Jeffrey,Johan,VCT Challengers,Pacific,Cynical,Duelist,20,297,309,86,62,74,0.14650000000000002,148.362,0.4697478196256128,0,0,0,0,0,0,0.0,0.0,0.0
110100034356134718,Manggong,seung-bum,Yu,VCT Challengers,Pacific,Vesta Esports Crew Daejeon,Controller,41,552,641,241,54,62,0.33951219512195124,121.50925,0.3449530610884559,0,0,0,0,0,0,0.0,0.0,0.0
112484928372740057,Answerz,Khishigbadrakh,Tumurtogoo,VCT Challengers,Pacific,Team Kobolds,Sentinel,26,438,430,108,74,46,0.2823076923076923,142.30423076923077,0.2862884222150572,0,0,0,0,0,0,0.0,0.0,0.0
